u_s,size_mm,flow_velocity,duty,low_flow_fraction,outcome
1.5108596754596426,0.9533333938705784,1.945227082234276,0.55,0.35,heavy
1.3778514324332152,0.8399247002380248,1.945227082234276,0.55,0.35,active
1.1285489763373524,0.5597049543674504,1.945227082234276,0.55,0.35,active
1.5775271659182442,0.7439142549703104,1.945227082234276,0.55,0.35,heavy
1.0946250726107585,0.5163820162985773,1.945227082234276,0.55,0.35,active
1.422504529033479,0.8297040277520455,1.945227082234276,0.55,0.35,active
1.5454317336999108,0.9904545298993765,1.945227082234276,0.55,0.35,heavy
1.4512903559859793,0.6660361869514861,1.945227082234276,0.55,0.35,active
1.263041252719509,0.8813521941246402,1.945227082234276,0.55,0.35,active
1.1135898869072922,0.8553808022640625,1.945227082234276,0.55,0.35,active
1.3854769678346213,0.6545237951714661,1.945227082234276,0.55,0.35,active
1.3840875001314468,0.3152408840797989,1.945227082234276,0.55,0.35,active
1.2470113970618484,0.6549901724388432,1.945227082234276,0.55,0.35,active
